Vertex,Label,DegreeCentrality,BetweennessCentrality,ClosenessCentrality,PageRank
0,mmojadad,0.002331,0.000011,0.001344,0.000486
1,romariormr,0.000233,0.000000,0.000000,0.000208
2,mhhmod,0.000000,0.000000,0.000000,0.000070
3,sokveasnahang-cpu,0.000233,0.000000,0.000000,0.000070
4,DavidsonGomes,0.066434,0.000066,0.129029,0.000070
5,robertoborcem,0.000699,0.000000,0.000000,0.000943
6,p3dr0574,0.001399,0.000002,0.002790,0.000070
7,danirpa,0.000233,0.000000,0.000466,0.000070
8,VoeonAI,0.004429,0.000004,0.000466,0.000943
9,Goulart-SB,0.000233,0.000000,0.000000,0.000082
10,shahrammahadvi,0.000466,0.000000,0.000000,0.000141
11,chagasma,0.000233,0.000000,0.000466,0.000070
12,JhonesSena,0.000233,0.000000,0.000466,0.000070
13,dinesh-suthar-cdp,0.001632,0.000002,0.000932,0.000250
14,gilney-canaltelecom,0.001166,0.000000,0.003357,0.000070
15,sussamgtads,0.000233,0.000000,0.000839,0.000070
16,FelipeBernardesDev,0.000699,0.000000,0.001492,0.000070
17,orfeubr,0.000466,0.000000,0.001526,0.000070
18,reginaldo-machado,0.000233,0.000000,0.000839,0.000070
19,hilsoney1200-dotcom,0.001166,0.000000,0.000000,0.000374
20,UluanRichard,0.000233,0.000000,0.000466,0.000070
21,WhiterBy1,0.000233,0.000000,0.000466,0.000070
22,RoyallGuards,0.000233,0.000000,0.000466,0.000070
23,Mahmoudreda66,0.000233,0.000000,0.000000,0.000082
24,diegoirs23,0.001166,0.000000,0.002835,0.000070
25,NRotili,0.001166,0.000002,0.000466,0.000296
26,mastermailgeral,0.000233,0.000000,0.000622,0.000070
27,YzKencebay,0.001632,0.000004,0.001049,0.000293
28,tectg-solution,0.000466,0.000000,0.001598,0.000070
29,TiagoGouvea,0.005828,0.000246,0.015794,0.000333
30,Header9968,0.000233,0.000000,0.000000,0.000082
31,Luiz-Otavio-Dorigon,0.000699,0.000002,0.001297,0.000130
32,LuizEdgar,0.000000,0.000000,0.000000,0.000070
33,TrolljanO,0.000699,0.000001,0.001295,0.000129
34,modopraiano,0.000466,0.000000,0.001295,0.000070
35,MurilloDanielOfficial,0.000233,0.000000,0.001119,0.000070
36,Darwin-IA-hub,0.002098,0.000098,0.001413,0.000862
37,claudiocastelo,0.000466,0.000000,0.001492,0.000070
38,kunkanon,0.000233,0.000000,0.001282,0.000070
39,asfcarvalho,0.000233,0.000000,0.001282,0.000070
40,studiomarcanti,0.000699,0.000000,0.001713,0.000070
41,pedro-vasconcelos-dev,0.000233,0.000000,0.001282,0.000070
42,braiaagency,0.002564,0.000047,0.001282,0.000609
43,ti613,0.001865,0.000000,0.000000,0.000336
44,Keven-sants,0.000233,0.000000,0.000466,0.000070
45,massilva,0.000233,0.000000,0.000466,0.000070
46,DarkWalking,0.000233,0.000000,0.000466,0.000070
47,juliancesar,0.002098,0.000000,0.004029,0.000070
48,Caiohenrks,0.000466,0.000000,0.000932,0.000070
49,juniorerivaldo,0.001166,0.000000,0.002331,0.000070
50,thiagomishaim,0.000699,0.000000,0.003245,0.000070
51,srmodid,0.000233,0.000000,0.001642,0.000070
52,andersonfelipev,0.001166,0.000000,0.000000,0.000765
53,FernandoBolzan,0.000699,0.000000,0.002015,0.000070
54,Simplobot1,0.004662,0.000146,0.001049,0.001340
55,Dev-Rafhael,0.000233,0.000000,0.000466,0.000070
56,Guilhermesf27,0.001166,0.000025,0.000466,0.000685
57,hic000,0.000466,0.000000,0.001243,0.000070
58,chibancas,0.000233,0.000000,0.000000,0.000090
59,eowoosh,0.000699,0.000000,0.001665,0.000070
60,AdaiasMagdiel,0.000000,0.000000,0.000000,0.000070
61,almirf,0.000699,0.000000,0.000466,0.000110
62,Vialc,0.000699,0.000000,0.001492,0.000070
63,unwarkz,0.000233,0.000000,0.000000,0.000128
64,VitorS0uza,0.004196,0.000040,0.004034,0.000549
65,nicolasbarcellos,0.002331,0.000000,0.000000,0.000559
66,TetoBertolla1,0.000233,0.000000,0.000466,0.000070
67,heydrick1,0.000233,0.000000,0.000466,0.000070
68,JustAtrasado,0.000233,0.000000,0.000466,0.000070
69,wenealves10,0.000233,0.000000,0.000466,0.000070
70,danyllolobo,0.000233,0.000000,0.000466,0.000070
71,queirozmat,0.000466,0.000000,0.000932,0.000070
72,diegobrodr,0.000466,0.000000,0.000932,0.000070
73,Buglessren,0.000233,0.000000,0.000000,0.000090
74,maestropsi,0.000699,0.000000,0.002015,0.000070
75,AlvaroBrasilia,0.000233,0.000000,0.001193,0.000070
76,reisdiegoss,0.000466,0.000000,0.000000,0.000100
77,nolramaf,0.001166,0.000001,0.002077,0.000070
78,jhefersoncrescencio,0.000932,0.000000,0.001865,0.000070
79,ielaineugc,0.000233,0.000000,0.000000,0.000100
80,weblucianosoares-maker,0.000699,0.000000,0.000000,0.000218
81,adrianovictorn,0.000233,0.000000,0.000466,0.000070
82,BrianCz-Eng,0.000466,0.000000,0.000932,0.000070
83,du-medeiros,0.000233,0.000000,0.000466,0.000070
84,Ben-Avrahami,0.004196,0.000028,0.000932,0.001138
85,Bonilhajvv,0.000233,0.000000,0.000839,0.000070
